iter	Passed	Remaining
0	6	1386
1	14	1425
2	20	1349
3	31	1543
4	39	1545
5	50	1633
6	62	1720
7	77	1859
8	88	1871
9	99	1882
10	110	1905
11	119	1864
12	126	1818
13	133	1772
14	144	1778
15	153	1768
16	162	1751
17	176	1782
18	189	1806
19	196	1770
20	208	1773
21	218	1767
22	226	1741
23	238	1750
24	247	1734
25	254	1703
26	263	1686
27	269	1653
28	275	1624
29	284	1610
30	290	1583
31	300	1575
32	306	1549
33	315	1538
34	321	1517
35	330	1505
36	336	1483
37	344	1467
38	350	1447
39	356	1426
40	364	1414
41	370	1395
42	379	1385
43	386	1371
44	394	1359
45	401	1344
46	408	1330
47	415	1314
48	421	1298
49	431	1293
50	437	1279
51	447	1273
52	455	1263
53	462	1249
54	469	1237
55	477	1228
56	484	1214
57	492	1206
58	500	1195
59	508	1187
60	515	1174
61	524	1166
62	530	1153
63	538	1144
64	546	1135
65	555	1128
66	561	1115
67	569	1105
68	575	1093
69	579	1075
70	587	1066
71	593	1055
72	601	1046
73	608	1036
74	620	1033
75	630	1029
76	639	1021
77	646	1011
78	656	1005
79	667	1001
80	675	993
81	686	988
82	695	979
83	702	970
84	714	967
85	720	955
86	731	949
87	737	938
88	746	930
89	753	920
90	763	914
91	770	904
92	778	896
93	785	885
94	793	876
95	799	866
96	806	856
97	813	847
98	820	836
99	828	828
100	834	818
101	843	810
102	849	800
103	857	791
104	863	781
105	871	772
106	878	763
107	884	753
108	893	745
109	898	734
110	905	726
111	912	716
112	921	709
113	929	701
114	936	692
115	943	683
116	949	673
117	960	667
118	967	658
119	974	649
120	981	640
121	990	633
122	996	623
123	1003	615
124	1010	606
125	1018	598
126	1025	589
127	1033	581
128	1040	572
129	1048	564
130	1055	555
131	1061	546
132	1066	537
133	1072	528
134	1078	519
135	1086	511
136	1092	502
137	1100	494
138	1106	485
139	1115	477
140	1122	469
141	1130	461
142	1136	453
143	1144	445
144	1151	436
145	1159	429
146	1166	420
147	1173	412
148	1181	404
149	1188	396
150	1197	388
151	1203	380
152	1212	372
153	1218	364
154	1225	355
155	1233	347
156	1242	340
157	1248	332
158	1257	324
159	1264	316
160	1273	308
161	1279	300
162	1287	292
163	1294	284
164	1301	275
165	1308	267
166	1314	259
167	1323	252
168	1330	244
169	1340	236
170	1346	228
171	1354	220
172	1362	212
173	1371	205
174	1379	197
175	1390	189
176	1401	182
177	1408	174
178	1416	166
179	1424	158
180	1431	150
181	1439	142
182	1446	134
183	1454	126
184	1465	118
185	1471	110
186	1481	103
187	1490	95
188	1501	87
189	1508	79
190	1516	71
191	1522	63
192	1533	55
193	1539	47
194	1547	39
195	1554	31
196	1562	23
197	1569	15
198	1578	7
199	1591	0
